,Carrier_Code,Origin_Airport,Flight_Season,Flight_Month,Flight_Week,Flight_Day,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay,Dep_Temp_3,Dep_Pressure_3,Dep_Humidity_3,Dep_Wind_Speed_3,Dep_Wind_Deg_3,Dep_Clouds_3,Dep_Rain_3,Airport_Abbr,Lat_N,Lng_W,GMT,Carrier_Abbr
42,3,223.0,2,4,14,5,8,9,58.0,-1.0,9.0,3.0,2,30.0,0.0,0.0,ATL,33.64,84.42,-5.0,NK
43,3,208.0,3,8,33,16,20,21,4.0,2.0,7.0,7.0,1,19.0,9.0,8.0,BWI,39.17,76.66,-5.0,NK
44,6,193.0,1,1,2,17,13,13,28.0,-1.0,4.0,8.0,2,11.0,9.0,0.0,RSW,26.53,81.75,-5.0,AA
45,6,188.0,3,8,33,22,16,17,84.0,1.0,-2.0,8.0,0,29.0,0.0,0.0,DCA,38.85,77.04,-5.0,AA
46,6,152.0,3,7,27,5,15,15,-5.0,2.0,8.0,7.0,1,11.0,8.0,0.0,STT,18.33,64.97,-4.0,AA
47,6,218.0,2,4,15,16,18,20,80.0,0.0,-3.0,2.0,2,6.0,9.0,0.0,PHX,33.43,112.01,-7.0,AA
48,6,214.0,3,6,26,30,16,18,108.0,1.0,9.0,8.0,0,17.0,0.0,0.0,CLT,35.21,80.94,-5.0,AA
49,6,217.0,3,7,28,13,9,11,95.0,1.0,-1.0,8.0,0,26.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
50,6,217.0,3,7,30,27,7,7,11.0,0.0,1.0,8.0,1,24.0,7.0,0.0,LAX,33.94,118.4,-8.0,AA
51,6,200.0,2,3,12,22,13,13,12.0,-2.0,10.0,7.0,2,18.0,7.0,0.0,BNA,36.12,86.67,-6.0,AA
52,6,191.0,3,8,32,15,22,22,-2.0,2.0,0.0,3.0,0,0.0,0.0,0.0,SMF,38.69,121.59,-8.0,AA
53,6,159.0,2,3,11,20,15,16,16.0,-3.0,14.0,7.0,4,16.0,0.0,0.0,OMA,41.3,95.89,-6.0,AA
54,6,192.0,2,3,10,12,6,5,-6.0,-1.0,11.0,4.0,1,34.0,0.0,0.0,PDX,45.58,122.59,-8.0,AA
55,6,221.0,1,1,2,13,20,20,-4.0,-2.0,7.0,5.0,5,21.0,2.0,0.0,DFW,32.89,97.04,-6.0,AA
56,6,221.0,3,7,28,14,21,22,49.0,3.0,7.0,5.0,7,18.0,7.0,0.0,DFW,32.89,97.04,-6.0,AA
57,6,221.0,3,7,30,29,20,20,0.0,3.0,4.0,5.0,0,4.0,1.0,0.0,DFW,32.89,97.04,-6.0,AA
58,6,193.0,3,6,25,21,7,7,-6.0,2.0,5.0,8.0,2,15.0,0.0,0.0,RSW,26.53,81.75,-5.0,AA
59,6,188.0,3,8,30,1,22,22,7.0,1.0,-3.0,8.0,1,16.0,7.0,0.0,DCA,38.85,77.04,-5.0,AA
60,6,221.0,3,8,32,9,17,18,26.0,2.0,1.0,7.0,8,18.0,7.0,0.0,DFW,32.89,97.04,-6.0,AA
61,6,218.0,2,5,19,16,11,11,50.0,1.0,-5.0,1.0,2,22.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
62,6,221.0,3,7,29,19,19,21,125.0,1.0,4.0,9.0,4,2.0,9.0,0.0,DFW,32.89,97.04,-6.0,AA
63,6,214.0,3,8,32,14,13,12,-5.0,1.0,8.0,9.0,2,22.0,1.0,0.0,CLT,35.21,80.94,-5.0,AA
64,6,188.0,1,1,4,29,15,16,49.0,-4.0,14.0,4.0,5,30.0,2.0,0.0,DCA,38.85,77.04,-5.0,AA
65,6,184.0,3,7,29,24,6,6,-5.0,2.0,5.0,7.0,2,26.0,0.0,0.0,MSY,29.99,90.25,-6.0,AA
66,6,221.0,3,6,22,3,22,23,53.0,2.0,3.0,5.0,2,13.0,7.0,0.0,DFW,32.89,97.04,-6.0,AA
67,6,205.0,3,8,33,17,16,16,4.0,1.0,11.0,8.0,0,29.0,10.0,0.0,BOS,42.36,71.0,-5.0,AA
68,6,214.0,2,5,18,4,20,21,55.0,2.0,0.0,5.0,7,24.0,7.0,0.0,CLT,35.21,80.94,-5.0,AA
69,6,175.0,2,3,13,31,16,16,0.0,-3.0,9.0,6.0,5,30.0,2.0,0.0,IND,39.71,86.29,-5.0,AA
70,6,221.0,2,5,18,7,10,10,-5.0,0.0,8.0,6.0,3,7.0,0.0,0.0,DFW,32.89,97.04,-6.0,AA
71,6,221.0,1,2,5,1,12,12,-7.0,-3.0,16.0,8.0,4,33.0,0.0,0.0,DFW,32.89,97.04,-6.0,AA
72,6,198.0,3,6,22,1,6,6,-8.0,0.0,2.0,7.0,2,0.0,9.0,0.0,SAN,32.73,117.19,-7.0,AA
73,6,193.0,1,2,7,19,17,18,48.0,1.0,6.0,9.0,5,19.0,9.0,0.0,RSW,26.53,81.75,-5.0,AA
74,6,218.0,3,7,29,21,20,20,15.0,4.0,-3.0,4.0,1,10.0,7.0,0.0,PHX,33.43,112.01,-7.0,AA
75,6,218.0,3,8,33,18,8,8,-8.0,3.0,-6.0,5.0,2,18.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
76,6,217.0,1,1,2,11,11,11,-4.0,-1.0,9.0,7.0,3,9.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
77,6,215.0,3,7,27,7,17,18,77.0,2.0,1.0,7.0,4,22.0,7.0,0.0,ORD,41.98,87.9,-6.0,AA
78,6,221.0,3,8,32,11,7,8,47.0,3.0,2.0,6.0,0,16.0,0.0,0.0,DFW,32.89,97.04,-6.0,AA
79,6,205.0,3,7,28,12,20,23,169.0,0.0,9.0,9.0,4,7.0,9.0,0.0,BOS,42.36,71.0,-5.0,AA
80,6,215.0,3,7,29,24,19,21,137.0,2.0,-1.0,6.0,5,22.0,7.0,0.0,ORD,41.98,87.9,-6.0,AA
81,6,211.0,2,5,18,8,19,19,14.0,2.0,6.0,4.0,7,8.0,7.0,0.0,MIA,25.79,80.27,-5.0,AA
82,6,214.0,2,5,18,7,17,17,10.0,0.0,1.0,5.0,2,33.0,7.0,0.0,CLT,35.21,80.94,-5.0,AA
83,6,205.0,2,3,10,9,18,19,75.0,-2.0,11.0,3.0,1,28.0,4.0,0.0,BOS,42.36,71.0,-5.0,AA
84,6,213.0,3,7,26,1,16,17,29.0,2.0,3.0,9.0,0,0.0,7.0,0.0,FLL,26.07,80.15,-5.0,AA
85,6,221.0,1,1,1,10,17,17,1.0,-3.0,14.0,7.0,2,3.0,9.0,0.0,DFW,32.89,97.04,-6.0,AA
86,6,211.0,2,5,19,16,18,18,0.0,2.0,8.0,4.0,2,0.0,9.0,0.0,MIA,25.79,80.27,-5.0,AA
